종목명,DART점수,Tier1발동,공시건수,Tier1,Tier2,Tier3,호재,조회일자
하이브,-59,🚨 YES,43,[기재정정]유상증자결정(종속회사의주요경영사항)              (20260401); 유상증자결정(종속회사의주요경영사항)              (20260401),[기재정정]주요사항보고서(자기주식처분결정)(20260401); [기재정정]주요사항보고서(자기주식처분결정)(20260401); 주요사항보고서(자기주식처분결정)(20260401),,연결재무제표기준영업(잠정)실적(공정공시)              (20260429); [기재정정]타법인주식및출자증권취득결정              (20260331); 타법인주식및출자증권취득결정              (20260331),2026-05-09
롯데웰푸드,-37,🚨 YES,22,[기재정정]주요사항보고서(감자결정)(20260428); 주요사항보고서(감자결정)(20260304),,,연결재무제표기준영업(잠정)실적(공정공시)              (20260508),2026-05-09
큐로셀,-30,🚨 YES,23,주요사항보고서(유상증자결정)(20260417); 주요사항보고서(전환사채권발행결정)(20260417),,,,2026-05-09
코칩,-22,🚨 YES,39,횡령ㆍ배임사실확인(자회사의 주요경영사항)              (20260310),,,연결재무제표기준영업(잠정)실적(공정공시)              (20260430),2026-05-09
지아이에스,-15,🚨 YES,23,주요사항보고서(전환사채권발행결정)(20260507),,,,2026-05-09
저스템,-10,OK,40,,주요사항보고서(자기주식처분결정)(20260311),,,2026-05-09
유진테크,-10,OK,24,,주요사항보고서(자기주식처분결정)(20260429),,,2026-05-09
필에너지,-10,🚨 YES,9,유상증자결정(종속회사의주요경영사항)              (20260427),,,타법인주식및출자증권취득결정              (20260427),2026-05-09
케이엠더블유,0,OK,14,,,,,2026-05-09
코데즈컴바인,0,OK,7,,,,,2026-05-09
LS마린솔루션,0,OK,13,,,,,2026-05-09
오로스테크놀로지,0,OK,17,,,,,2026-05-09
진성티이씨,0,OK,11,,,,,2026-05-09
제룡전기,0,OK,9,,,,,2026-05-09
미래반도체,0,OK,9,,,,,2026-05-09
삼성증권,0,OK,100,,,,,2026-05-09
남해화학,0,OK,21,,,,,2026-05-09
아진엑스텍,0,OK,5,,,,,2026-05-09
에치에프알,0,OK,8,,,,,2026-05-09
타이거일렉,0,OK,7,,,,,2026-05-09
자비스,0,OK,12,,,,,2026-05-09
PS일렉트로닉스,0,OK,33,,,,,2026-05-09
일진홀딩스,0,OK,13,,,,,2026-05-09
유니퀘스트,0,OK,10,,,,,2026-05-09
빛샘전자,0,OK,15,,,,,2026-05-09
현대건설,3,OK,51,,,,연결재무제표기준영업(잠정)실적(공정공시)              (20260428),2026-05-09
KBI메탈,5,OK,28,,,,타법인주식및출자증권취득결정              (20260428),2026-05-09
선광,5,OK,10,,,,[기재정정]타법인주식및출자증권취득결정              (20260403),2026-05-09
서울바이오시스,6,OK,11,,,,연결재무제표기준영업(잠정)실적(공정공시)              (20260415); [기재정정]연결재무제표기준영업(잠정)실적(공정공시)              (20260211),2026-05-09
오킨스전자,6,OK,12,,,,연결재무제표기준영업(잠정)실적(공정공시)              (20260504); 연결재무제표기준영업(잠정)실적(공정공시)              (20260212),2026-05-09
현대로템,8,OK,37,,,,타법인주식및출자증권취득결정              (20260424); 연결재무제표기준영업(잠정)실적(공정공시)              (20260424),2026-05-09
포스코퓨처엠,16,OK,16,,,,연결재무제표기준영업(잠정)실적(공정공시)              (20260430); 영업(잠정)실적(공정공시)              (20260430); [기재정정]타법인주식및출자증권취득결정              (20260427),2026-05-09
